OU Size: 4x4
layer,time_s,energy_J
6,1.917086e-02,9.120581e-05
7,1.917086e-02,9.120581e-05
8,9.585428e-03,4.560290e-05
9,1.084970e-02,9.120581e-05
10,1.917086e-02,9.120581e-05
11,3.124635e-03,2.280145e-05
12,4.792714e-03,2.280145e-05
13,4.275076e-03,2.280145e-05
14,4.139284e-06,5.067007e-08
15,4.747774e-05,8.272635e-07
16,3.102517e-05,2.019686e-07
Total,,,
Latency (max),1.917086e-02,
Energy (sum),,7.578031e-04,
EDP, , ,1.452773e-05

OU Size: 4x108
layer,time_s,energy_J
1,8.653511e-04,4.421585e-06
2,1.846082e-02,9.432715e-05
3,9.230412e-03,4.716358e-05
4,1.846082e-02,9.432715e-05
5,9.230412e-03,4.716358e-05
6,1.846082e-02,9.432715e-05
7,1.846082e-02,9.432715e-05
8,9.230412e-03,4.716358e-05
9,1.044786e-02,9.432715e-05
10,1.846082e-02,9.432715e-05
11,3.008908e-03,2.358179e-05
12,4.615206e-03,2.358179e-05
13,4.116740e-03,2.358179e-05
14,3.985978e-06,5.240415e-08
15,4.571931e-05,8.555751e-07
16,2.987609e-05,2.088806e-07
Total,,,
Latency (max),1.846082e-02,
Energy (sum),,7.837375e-04,
EDP, , ,1.446844e-05

OU Size: 4x112
layer,time_s,energy_J
1,8.344457e-04,4.567899e-06
2,1.780151e-02,9.744850e-05
3,8.900755e-03,4.872425e-05
4,1.780151e-02,9.744850e-05
5,8.900755e-03,4.872425e-05
6,1.780151e-02,9.744850e-05
7,1.780151e-02,9.744850e-05
8,8.900755e-03,4.872425e-05
9,1.007472e-02,9.744850e-05
10,1.780151e-02,9.744850e-05
11,2.901447e-03,2.436213e-05
12,4.450377e-03,2.436213e-05
13,3.969714e-03,2.436213e-05
14,3.843621e-06,5.413824e-08
15,4.408647e-05,8.838867e-07
16,2.880909e-05,2.157926e-07
Total,,,
Latency (max),1.780151e-02,
Energy (sum),,8.096719e-04,
EDP, , ,1.441338e-05

OU Size: 4x116
layer,time_s,energy_J
1,8.056718e-04,4.714212e-06
