OU Size: 4x4
layer,time_s,energy_J
9,7.736757e-04,2.262978e-04
10,7.800987e-04,2.262978e-04
11,1.917756e-04,5.657444e-05
12,1.912491e-04,5.657444e-05
13,1.935026e-04,5.657444e-05
14,9.401409e-08,1.257214e-07
15,1.078345e-06,2.052588e-06
16,9.879313e-07,5.011200e-07
Total,,,
Latency (max),2.177104e-03,
Energy (sum),,1.880244e-03,
EDP, , ,5.149465e-03

OU Size: 4x120
layer,time_s,energy_J
1,9.865003e-05,1.090237e-05
2,2.104534e-03,2.325838e-04
3,1.052267e-03,1.162919e-04
4,2.104534e-03,2.325838e-04
5,1.052267e-03,1.162919e-04
6,1.287767e-03,2.325838e-04
7,2.104534e-03,2.325838e-04
8,7.387913e-04,1.162919e-04
9,7.478865e-04,2.325838e-04
10,7.540955e-04,2.325838e-04
11,1.853831e-04,5.814596e-05
12,1.848741e-04,5.814596e-05
13,1.870525e-04,5.814596e-05
14,9.088029e-08,1.292137e-07
15,1.042400e-06,2.109604e-06
16,9.550002e-07,5.150400e-07
Total,,,
Latency (max),2.104534e-03,
Energy (sum),,1.932473e-03,
EDP, , ,4.945552e-03

OU Size: 4x124
layer,time_s,energy_J
1,9.546777e-05,1.119703e-05
2,2.036646e-03,2.388699e-04
3,1.018323e-03,1.194349e-04
4,2.036646e-03,2.388699e-04
5,1.018323e-03,1.194349e-04
6,1.246226e-03,2.388699e-04
7,2.036646e-03,2.388699e-04
8,7.149594e-04,1.194349e-04
9,7.237611e-04,2.388699e-04
10,7.297698e-04,2.388699e-04
11,1.794030e-04,5.971747e-05
12,1.789104e-04,5.971747e-05
13,1.810186e-04,5.971747e-05
14,8.794867e-08,1.327059e-07
15,1.008774e-06,2.166620e-06
16,9.241938e-07,5.289600e-07
Total,,,
Latency (max),2.036646e-03,
Energy (sum),,1.984702e-03,
EDP, , ,4.756810e-03

OU Size: 4x128
layer,time_s,energy_J
1,9.248440e-05,1.149168e-05
2,1.973001e-03,2.451559e-04
3,9.865003e-04,1.225780e-04
4,1.973001e-03,2.451559e-04
5,9.865003e-04,1.225780e-04
6,1.207281e-03,2.451559e-04
7,1.973001e-03,2.451559e-04
8,6.926169e-04,1.225780e-04
9,7.011436e-04,2.451559e-04
10,7.069645e-04,2.451559e-04
11,1.737967e-04,6.128898e-05
12,1.733195e-04,6.128898e-05
13,1.753617e-04,6.128898e-05
14,8.520027e-08,1.361982e-07
15,9.772502e-07,2.223636e-06
16,8.953127e-07,5.428800e-07
Total,,,
Latency (max),1.973001e-03,
Energy (sum),,2.036931e-03,
EDP, , ,4.581632e-03

OU Size: 8x4
layer,time_s,energy_J
1,1.479750e-03,4.419878e-06
2,3.156801e-02,9.429074e-05
3,1.578400e-02,4.714537e-05
4,3.156801e-02,9.429074e-05
5,1.578400e-02,4.714537e-05
6,1.931650e-02,9.429074e-05
7,3.156801e-02,9.429074e-05
8,1.108187e-02,4.714537e-05
9,1.121830e-02,9.429074e-05
10,1.131143e-02,9.429074e-05
11,2.780746e-03,2.357268e-05
12,2.773112e-03,2.357268e-05
13,2.805788e-03,2.357268e-05
14,1.363204e-06,5.238392e-08
15,1.563600e-05,8.552448e-07
16,1.432500e-05,2.088000e-07
Total,,,
Latency (max),3.156801e-02,
Energy (sum),,7.834349e-04,
EDP, , ,4.511146e-01

OU Size: 8x8
layer,time_s,energy_J
1,7.398752e-04,4.714537e-06
2,1.578400e-02,1.005768e-04
3,7.892002e-03,5.028839e-05
4,1.578400e-02,1.005768e-04
5,7.892002e-03,5.028839e-05
6,9.658250e-03,1.005768e-04
7,1.578400e-02,1.005768e-04
8,5.540935e-03,5.028839e-05
9,5.609149e-03,1.005768e-04
10,5.655716e-03,1.005768e-04
11,1.390373e-03,2.514420e-05
12,1.386556e-03,2.514420e-05
13,1.402894e-03,2.514420e-05
14,6.816022e-07,5.587618e-08
15,7.818001e-06,9.122611e-07
16,7.162502e-06,2.227200e-07
Total,,,
Latency (max),1.578400e-02,
Energy (sum),,8.356639e-04,
EDP, , ,1.202972e-01

OU Size: 8x12
layer,time_s,energy_J
1,4.932502e-04,5.009196e-06
2,1.052267e-02,1.068628e-04
3,5.261335e-03,5.343142e-05
4,1.052267e-02,1.068628e-04
5,5.261335e-03,5.343142e-05
6,6.438833e-03,1.068628e-04
7,1.052267e-02,1.068628e-04
8,3.693957e-03,5.343142e-05
9,3.739433e-03,1.068628e-04
10,3.770477e-03,1.068628e-04
11,9.269155e-04,2.671571e-05
12,9.243705e-04,2.671571e-05
13,9.352626e-04,2.671571e-05
14,4.544014e-07,5.936845e-08
15,5.212001e-06,9.692774e-07
16,4.775001e-06,2.366400e-07
Total,,,
Latency (max),1.052267e-02,
Energy (sum),,8.878929e-04,
EDP, , ,5.680702e-02

OU Size: 8x16
layer,time_s,energy_J
1,3.699376e-04,5.303854e-06
2,7.892002e-03,1.131489e-04
3,3.946001e-03,5.657444e-05
4,7.892002e-03,1.131489e-04
5,3.946001e-03,5.657444e-05
6,4.829125e-03,1.131489e-04
7,7.892002e-03,1.131489e-04
8,2.770468e-03,5.657444e-05
9,2.804574e-03,1.131489e-04
10,2.827858e-03,1.131489e-04
11,6.951866e-04,2.828722e-05
12,6.932779e-04,2.828722e-05
13,7.014469e-04,2.828722e-05
14,3.408011e-07,6.286071e-08
15,3.909001e-06,1.026294e-06
16,3.581251e-06,2.505600e-07
Total,,,
Latency (max),7.892002e-03,
Energy (sum),,9.401219e-04,
EDP, , ,3.383359e-02

OU Size: 8x20
layer,time_s,energy_J
1,2.959501e-04,5.598513e-06
2,6.313602e-03,1.194349e-04
3,3.156801e-03,5.971747e-05
4,6.313602e-03,1.194349e-04
5,3.156801e-03,5.971747e-05
6,3.863300e-03,1.194349e-04
7,6.313602e-03,1.194349e-04
8,2.216374e-03,5.971747e-05
9,2.243660e-03,1.194349e-04
10,2.262286e-03,1.194349e-04
11,5.561493e-04,2.985873e-05
12,5.546223e-04,2.985873e-05
13,5.611576e-04,2.985873e-05
14,2.726409e-07,6.635297e-08
15,3.127200e-06,1.083310e-06
16,2.865001e-06,2.644800e-07
Total,,,
Latency (max),6.313602e-03,
Energy (sum),,9.923509e-04,
EDP, , ,2.285647e-02

OU Size: 8x24
layer,time_s,energy_J
1,2.466251e-04,5.893171e-06
2,5.261335e-03,1.257210e-04
3,2.630667e-03,6.286049e-05
4,5.261335e-03,1.257210e-04
5,2.630667e-03,6.286049e-05
6,3.219417e-03,1.257210e-04
7,5.261335e-03,1.257210e-04
8,1.846978e-03,6.286049e-05
9,1.869716e-03,1.257210e-04
10,1.885239e-03,1.257210e-04
11,4.634577e-04,3.143025e-05
12,4.621853e-04,3.143025e-05
13,4.676313e-04,3.143025e-05
14,2.272007e-07,6.984523e-08
15,2.606000e-06,1.140326e-06
16,2.387501e-06,2.784000e-07
Total,,,
Latency (max),5.261335e-03,
Energy (sum),,1.044580e-03,
EDP, , ,1.670795e-02

OU Size: 8x28
layer,time_s,energy_J
1,2.113929e-04,6.187830e-06
2,4.509716e-03,1.320070e-04
3,2.254858e-03,6.600352e-05
