Rows,Cols,Latency,Energy,EDP
32,104,3.035386e-04,4.282777e-03,2.280042e-04
32,108,2.922964e-04,4.335006e-03,2.140061e-04
32,112,2.818572e-04,4.387235e-03,2.013904e-04
32,116,2.721380e-04,4.439464e-03,1.899759e-04
32,120,2.630667e-04,4.491693e-03,1.796104e-04
32,124,2.545807e-04,4.543922e-03,1.701655e-04
32,128,2.466251e-04,4.596151e-03,1.615319e-04
36,4,7.015113e-03,3.342656e-03,9.504965e-02
36,8,3.507557e-03,3.394885e-03,2.413370e-02
36,12,2.338371e-03,3.447114e-03,1.089111e-02
36,16,1.753778e-03,3.499343e-03,6.219069e-03
36,20,1.403023e-03,3.551572e-03,4.039610e-03
36,24,1.169186e-03,3.603801e-03,2.846539e-03
36,28,1.002159e-03,3.656030e-03,2.121644e-03
36,32,8.768892e-04,3.708259e-03,1.647589e-03
36,36,7.794570e-04,3.760488e-03,1.320134e-03
36,40,7.015113e-04,3.812717e-03,1.084160e-03
36,44,6.377376e-04,3.864946e-03,9.082741e-04
36,48,5.845928e-04,3.917175e-03,7.735161e-04
36,52,5.396241e-04,3.969404e-03,6.678785e-04
36,56,5.010795e-04,4.021633e-03,5.834521e-04
36,60,4.676742e-04,4.073862e-03,5.148523e-04
36,64,4.384446e-04,4.126091e-03,4.583083e-04
36,68,4.126537e-04,4.178319e-03,4.111144e-04
36,72,3.897285e-04,4.230548e-03,3.712877e-04
36,76,3.692165e-04,4.282777e-03,3.373473e-04
36,80,3.507557e-04,4.335006e-03,3.081688e-04
36,84,3.340530e-04,4.387235e-03,2.828859e-04
36,88,3.188688e-04,4.439464e-03,2.608219e-04
36,92,3.050049e-04,4.491693e-03,2.414423e-04
36,96,2.922964e-04,4.543922e-03,2.243197e-04
36,100,2.806045e-04,4.596151e-03,2.091092e-04
36,104,2.698120e-04,4.648380e-03,1.955302e-04
36,108,2.598190e-04,4.700609e-03,1.833520e-04
36,112,2.505398e-04,4.752838e-03,1.723836e-04
36,116,2.419005e-04,4.805067e-03,1.624660e-04
36,120,2.338371e-04,4.857296e-03,1.534656e-04
36,124,2.262940e-04,4.909525e-03,1.452697e-04
36,128,2.192223e-04,4.961754e-03,1.377826e-04
40,4,6.313602e-03,3.708259e-03,8.541103e-02
40,8,3.156801e-03,3.760488e-03,2.165350e-02
40,12,2.104534e-03,3.812717e-03,9.757441e-03
40,16,1.578400e-03,3.864946e-03,5.563746e-03
40,20,1.262720e-03,3.917175e-03,3.608917e-03
40,24,1.052267e-03,3.969404e-03,2.539608e-03
40,28,9.019431e-04,4.021633e-03,1.890385e-03
40,32,7.892002e-04,4.073862e-03,1.466122e-03
40,36,7.015113e-04,4.126091e-03,1.173269e-03
40,40,6.313602e-04,4.178319e-03,9.623778e-04
40,44,5.739638e-04,4.230548e-03,8.052954e-04
40,48,5.261335e-04,4.282777e-03,6.850258e-04
40,52,4.856617e-04,4.335006e-03,5.908088e-04
40,56,4.509716e-04,4.387235e-03,5.155595e-04
40,60,4.209068e-04,4.439464e-03,4.544562e-04
40,64,3.946001e-04,4.491693e-03,4.041235e-04
40,68,3.713883e-04,4.543922e-03,3.621404e-04
40,72,3.507557e-04,4.596151e-03,3.267332e-04
40,76,3.322948e-04,4.648380e-03,2.965776e-04
40,80,3.156801e-04,4.700609e-03,2.706687e-04
40,84,3.006477e-04,4.752838e-03,2.482324e-04
40,88,2.869819e-04,4.805067e-03,2.286641e-04
40,92,2.745044e-04,4.857296e-03,2.114866e-04
40,96,2.630667e-04,4.909525e-03,1.963184e-04
40,100,2.525441e-04,4.961754e-03,1.828518e-04
40,104,2.428308e-04,5.013983e-03,1.708363e-04
40,108,2.338371e-04,5.066212e-03,1.600663e-04
40,112,2.254858e-04,5.118441e-03,1.503715e-04
40,116,2.177104e-04,5.170670e-03,1.416103e-04
40,120,2.104534e-04,5.222899e-03,1.336636e-04
40,124,2.036646e-04,5.275128e-03,1.264310e-04
40,128,1.973001e-04,5.327357e-03,1.198273e-04
44,4,5.739638e-03,4.073862e-03,7.754697e-02
44,8,2.869819e-03,4.126091e-03,1.963529e-02
44,12,1.913213e-03,4.178319e-03,8.837261e-03
44,16,1.434910e-03,4.230548e-03,5.033096e-03
44,20,1.147928e-03,4.282777e-03,3.260949e-03
44,24,9.566064e-04,4.335006e-03,2.292165e-03
44,28,8.199483e-04,4.387235e-03,1.704329e-03
44,32,7.174548e-04,4.439464e-03,1.320411e-03
44,36,6.377376e-04,4.491693e-03,1.055562e-03
44,40,5.739638e-04,4.543922e-03,8.649469e-04
44,44,5.217853e-04,4.596151e-03,7.230487e-04
44,48,4.783032e-04,4.648380e-03,6.144658e-04
44,52,4.415106e-04,4.700609e-03,5.294513e-04
44,56,4.099742e-04,4.752838e-03,4.615891e-04
44,60,3.826425e-04,4.805067e-03,4.065140e-04
44,64,3.587274e-04,4.857296e-03,3.611713e-04
44,68,3.376258e-04,4.909525e-03,3.233704e-04
44,72,3.188688e-04,4.961754e-03,2.915069e-04
44,76,3.020862e-04,5.013983e-03,2.643834e-04
44,80,2.869819e-04,5.066212e-03,2.410915e-04
44,84,2.733161e-04,5.118441e-03,2.209315e-04
44,88,2.608926e-04,5.170670e-03,2.033574e-04
44,92,2.495495e-04,5.222899e-03,1.879380e-04
44,96,2.391516e-04,5.275128e-03,1.743288e-04
44,100,2.295855e-04,5.327357e-03,1.622521e-04
44,104,2.207553e-04,5.379586e-03,1.514819e-04
44,108,2.125792e-04,5.431815e-03,1.418326e-04
44,112,2.049871e-04,5.484044e-03,1.331507e-04
44,116,1.979186e-04,5.536273e-03,1.253084e-04
44,120,1.913213e-04,5.588502e-03,1.181984e-04
44,124,1.851496e-04,5.640731e-03,1.117302e-04
44,128,1.793637e-04,5.692960e-03,1.058271e-04
48,4,5.261335e-03,4.439464e-03,7.100878e-02
48,8,2.630667e-03,4.491693e-03,1.796104e-02
48,12,1.753778e-03,4.543922e-03,8.075508e-03
48,16,1.315334e-03,4.596151e-03,4.594685e-03
48,20,1.052267e-03,4.648380e-03,2.974015e-03
48,24,8.768892e-04,4.700609e-03,2.088493e-03
48,28,7.516193e-04,4.752838e-03,1.551452e-03
48,32,6.576669e-04,4.805067e-03,1.200884e-03
48,36,5.845928e-04,4.857296e-03,9.591599e-04
48,40,5.261335e-04,4.909525e-03,7.852735e-04
48,44,4.783032e-04,4.961754e-03,6.558905e-04
48,48,4.384446e-04,5.013983e-03,5.569316e-04
48,52,4.047181e-04,5.066212e-03,4.794884e-04
48,56,3.758096e-04,5.118441e-03,4.176987e-04
48,60,3.507557e-04,5.170670e-03,3.675748e-04
48,64,3.288334e-04,5.222899e-03,3.263271e-04
48,68,3.094903e-04,5.275128e-03,2.919555e-04
48,72,2.922964e-04,5.327357e-03,2.629955e-04
48,76,2.769124e-04,5.379586e-03,2.383544e-04
48,80,2.630667e-04,5.431815e-03,2.172033e-04
48,84,2.505398e-04,5.484044e-03,1.989041e-04
48,88,2.391516e-04,5.536273e-03,1.829589e-04
48,92,2.287537e-04,5.588502e-03,1.689745e-04
48,96,2.192223e-04,5.640731e-03,1.566370e-04
48,100,2.104534e-04,5.692960e-03,1.456933e-04
48,104,2.023590e-04,5.745189e-03,1.359374e-04
48,108,1.948643e-04,5.797418e-03,1.272004e-04
48,112,1.879048e-04,5.849647e-03,1.193425e-04
48,116,1.814253e-04,5.901876e-03,1.122472e-04
48,120,1.753778e-04,5.954105e-03,1.058170e-04
48,124,1.697205e-04,6.006334e-03,9.996951e-05
48,128,1.644167e-04,6.058563e-03,9.463486e-05
52,4,4.856617e-03,4.805067e-03,6.548724e-02
52,8,2.428308e-03,4.857296e-03,1.654977e-02
52,12,1.618872e-03,4.909525e-03,7.434542e-03
52,16,1.214154e-03,4.961754e-03,4.226419e-03
52,20,9.713234e-04,5.013983e-03,2.733381e-03
52,24,8.094361e-04,5.066212e-03,1.917954e-03
52,28,6.938024e-04,5.118441e-03,1.423636e-03
52,32,6.070771e-04,5.170670e-03,1.101093e-03
52,36,5.396241e-04,5.222899e-03,8.787875e-04
52,40,4.856617e-04,5.275128e-03,7.189360e-04
52,44,4.415106e-04,5.327357e-03,6.000448e-04
52,48,4.047181e-04,5.379586e-03,5.091475e-04
52,52,3.735859e-04,5.431815e-03,4.380418e-04
52,56,3.469012e-04,5.484044e-03,3.813310e-04
52,60,3.237745e-04,5.536273e-03,3.353453e-04
52,64,3.035386e-04,5.588502e-03,2.975176e-04
52,68,2.856833e-04,5.640731e-03,2.660081e-04
52,72,2.698120e-04,5.692960e-03,2.394696e-04
52,76,2.556114e-04,5.745189e-03,2.168974e-04
52,80,2.428308e-04,5.797418e-03,1.975295e-04
52,84,2.312675e-04,5.849647e-03,1.807791e-04
52,88,2.207553e-04,5.901876e-03,1.661889e-04
52,92,2.111573e-04,5.954105e-03,1.533974e-04
52,96,2.023590e-04,6.006334e-03,1.421164e-04
52,100,1.942647e-04,6.058563e-03,1.321134e-04
52,104,1.867930e-04,6.110792e-03,1.231992e-04
52,108,1.798747e-04,6.163021e-03,1.152188e-04
52,112,1.734506e-04,6.215250e-03,1.080438e-04
52,116,1.674695e-04,6.267479e-03,1.015674e-04
52,120,1.618872e-04,6.319708e-03,9.569996e-05
52,124,1.566651e-04,6.371937e-03,9.036606e-05
52,128,1.517693e-04,6.424166e-03,8.550156e-05
56,4,4.509716e-03,5.170670e-03,6.076237e-02
56,8,2.254858e-03,5.222899e-03,1.534403e-02
56,12,1.503239e-03,5.275128e-03,6.887766e-03
56,16,1.127429e-03,5.327357e-03,3.912728e-03
56,20,9.019431e-04,5.379586e-03,2.528697e-03
56,24,7.516193e-04,5.431815e-03,1.773088e-03
56,28,6.442451e-04,5.484044e-03,1.315203e-03
56,32,5.637145e-04,5.536273e-03,1.016542e-03
56,36,5.010795e-04,5.588502e-03,8.107711e-04
56,40,4.509716e-04,5.640731e-03,6.628622e-04
56,44,4.099742e-04,5.692960e-03,5.528924e-04
56,48,3.758096e-04,5.745189e-03,4.688455e-04
56,52,3.469012e-04,5.797418e-03,4.031213e-04
56,56,3.221225e-04,5.849647e-03,3.507208e-04
56,60,3.006477e-04,5.901876e-03,3.082446e-04
56,64,2.818572e-04,5.954105e-03,2.733156e-04
