Layer: 1, Crossbars required: 1
OU Row: 76, OU Col: 16, OU required: 14, Latency: 425458.87195545435, Energy: 32334874.26861453, Power Density: 0.00 W, TOPS: 5.62e-02, EPM: 2.04e-14
OU Row: 76, OU Col: 20, OU required: 11, Latency: 417861.39209910703, Energy: 31757465.799532134, Power Density: 0.00 W, TOPS: 7.03e-02, EPM: 2.04e-14
OU Row: 76, OU Col: 24, OU required: 9, Latency: 410263.9122427596, Energy: 31180057.33044973, Power Density: 0.00 W, TOPS: 8.44e-02, EPM: 2.04e-14
OU Row: 76, OU Col: 28, OU required: 8, Latency: 425458.87195545435, Energy: 32334874.26861453, Power Density: 0.00 W, TOPS: 9.84e-02, EPM: 2.04e-14
OU Row: 76, OU Col: 32, OU required: 7, Latency: 425458.87195545435, Energy: 32334874.26861453, Power Density: 0.00 W, TOPS: 1.12e-01, EPM: 2.05e-14
OU Row: 80, OU Col: 4, OU required: 52, Latency: 420787.53399570286, Energy: 33663002.71965623, Power Density: 0.00 W, TOPS: 1.48e-02, EPM: 2.14e-14
OU Row: 80, OU Col: 8, OU required: 26, Latency: 420787.53399570286, Energy: 33663002.71965623, Power Density: 0.00 W, TOPS: 2.96e-02, EPM: 2.14e-14
OU Row: 80, OU Col: 12, OU required: 18, Latency: 436971.6699186145, Energy: 34957733.59348916, Power Density: 0.00 W, TOPS: 4.44e-02, EPM: 2.14e-14
OU Row: 80, OU Col: 16, OU required: 13, Latency: 420787.53399570286, Energy: 33663002.71965623, Power Density: 0.00 W, TOPS: 5.92e-02, EPM: 2.14e-14
OU Row: 80, OU Col: 20, OU required: 11, Latency: 445063.73788007034, Energy: 35605099.030405626, Power Density: 0.00 W, TOPS: 7.40e-02, EPM: 2.15e-14
OU Row: 80, OU Col: 24, OU required: 9, Latency: 436971.6699186145, Energy: 34957733.59348916, Power Density: 0.00 W, TOPS: 8.88e-02, EPM: 2.15e-14
OU Row: 80, OU Col: 28, OU required: 8, Latency: 453155.80584152613, Energy: 36252464.46732209, Power Density: 0.00 W, TOPS: 1.04e-01, EPM: 2.15e-14
OU Row: 80, OU Col: 32, OU required: 7, Latency: 453155.80584152613, Energy: 36252464.46732209, Power Density: 0.00 W, TOPS: 1.18e-01, EPM: 2.15e-14
OU Row: 84, OU Col: 4, OU required: 49, Latency: 420972.4561945181, Energy: 35361686.320339516, Power Density: 0.00 W, TOPS: 1.55e-02, EPM: 2.24e-14
